title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
"Chăn Chần Bông, Khăn quấn bé sơ sinh loại mỏng 85cm x 85cm cotton mềm mại, dùng làm khăn tắm chăn đắp CarynLAZADA",2632422050,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i2632422050.html,55000,0.0,0,0,No Brand,2026-05-16 15:17:26
chăn hè cotton poly trần bông 3 lớp 180*200cm nhiều màu,2262907501,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i2262907501.html,60000,0.0,0,0,No Brand,2026-05-16 15:17:26
"Chăn/Mền 2 Lớp Chần Bông Gòn Họa Tiết Caro Kích Thước (1m65x2m) Cao Cấp - Phong Cách Hàn Quốc - Chất Liệu Mềm Mại, Không Bị Xù Lông. Đức Nhung Store",2276373296,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i2276373296.html,73800,4.671052631578948,76,0,No Brand,2026-05-16 15:17:26
Chiếc Chăn Dày Đáng Yêu,13385178678,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i13385178678.html,78650,4.946902654867257,113,0,Gaorui,2026-05-16 15:17:26
"CHĂN,MỀN COTTON ĐŨI CHO BÉ(loại 1)",2197199519,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i2197199519.html,78700,5.0,1,0,No Brand,2026-05-16 15:17:26
KAMONI | Chăn Máy Lạnh Giặt Được Cho Giường Đơn Mùa Hè,3218488225,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i3218488225.html,79050,4.886274509803922,256,0,KAMONI,2026-05-16 15:17:26
YANYANGTIAN | Chăn Sử Dụng Quanh Năm Cho Máy Lạnh,13365674379,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i13365674379.html,83200,4.925,123,0,YANYANGTIAN,2026-05-16 15:17:26
KAMONI | Chăn Quilt Giữ Lạnh Có Thể Giặt,3218519064,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i3218519064.html,83854,4.784313725490196,51,0,KAMONI,2026-05-16 15:17:26
KAMONI | Chăn Hè Có Thể Giặt,3218471459,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Chăn Chần Gòn,https://www.lazada.vn/products/pdp-i3218471459.html,84460,4.666666666666667,42,0,KAMONI,2026-05-16 15:17:26
